Survey Name,Question,Type,Official Answers
"Debrief, Mission 0, Participant 0","Husky 3 answered this 1 query, with a 0.94 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
Order,"Husky 0 answered this 3 query, with a 0.5 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
0,"Husky 0 answered this 0 query, with a 0.5 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
Last Edited By,"Husky 0 answered this 0 query, with a 0.6 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
Python Script,"Husky 0 answered this 3 query, with a 0.9 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
Who knows?,"Husky 0 answered this 3 query, with a 0.2 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
,"Husky 0 answered this 1 query, with a 0.7 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
,"Husky 0 answered this 0 query, with a 0.3 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
,"Husky 0 answered this 3 query, with a 0.1 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
,"Husky 0 answered this 1 query, with a 0.8 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
,"Husky 0 answered this 3 query, with a 0.9 confidence levelwhile you were tending to another query.How would you like me to handle similar queries next time?",Debrief,Please ask a Husky to handle similar queries in the next mission|Please ask a Husky to stop and wait until I answer similar queries in the next mission
